from,to,from_word,to_word,weight
12,719,sad,worry,0.02739726
12,972,sad,serious,0.02867384
12,1117,sad,tear,0.08247423
12,1239,sad,sorrow,0.1068966
12,1243,sad,worried,0.02047782
12,1443,sad,unwanted,0.02564103
13,7,school,work,0.06185567
13,71,school,study,0.0443686
13,142,school,teacher,0.16024969
13,300,school,stress,0.02083333
13,367,school,university,0.1068966
13,409,school,student,0.1054422
13,583,school,teenager,0.02777778
13,731,school,understanding,0.0245614
13,817,school,teach,0.1028338799999999
13,967,school,uniform,0.07067138
13,1119,school,spirit,0.01428571
13,1549,school,teen,0.0239726
13,1619,school,uneducated,0.02898551
13,1760,school,subject,0.05782313
13,1816,school,spell,0.02372881
13,1859,school,training,0.0239726
14,8,fun,sex,0.04895105
14,48,fun,party,0.100671140939597
14,60,fun,play,0.0915254237288136
14,255,fun,silly,0.03819444
14,340,fun,joy,0.0344827586206897
14,460,fun,vacation,0.0212766
14,470,fun,toy,0.07586207
14,499,fun,trip,0.02768166
14,516,fun,interesting,0.0225563909774436
14,537,fun,puzzle,0.03597122
14,586,fun,movies,0.0302013422818792
14,742,fun,ride,0.01428571
14,783,fun,pleasure,0.0669014084507042
14,813,fun,singing,0.02033898
14,853,fun,laughter,0.0662020905923345
14,1046,fun,swing,0.02749141
14,1132,fun,slide,0.07612457
14,1313,fun,project,0.01388889
14,1474,fun,tease,0.02491103
14,1539,fun,uncle,0.02545455
14,1571,fun,spontaneous,0.06360424
14,1603,fun,nonsense,0.0142348754448399
14,1614,fun,toys,0.1006711
14,1647,fun,lively,0.074468085106383
14,1704,fun,parade,0.0387323943661972
15,30,black,blue,0.0282685512367491
15,33,black,cat,0.0176678445229682
15,35,black,dark,0.109540636042403
15,57,black,color,0.0424028268551237
15,133,black,night,0.0848056537102474
15,185,black,oil,0.0578231292517007
15,220,black,race,0.05821918
15,305,black,judge,0.0135135135135135
15,422,black,spy,0.01748252
15,479,black,pot,0.0239726
15,554,black,witch,0.025
15,627,black,piano,0.0242214532871972
15,651,black,chaos,0.0179856115107914
15,696,black,ink,0.118243243243243
15,846,black,spider,0.04844291
15,849,black,boots,0.0243055555555556
15,947,black,tire,0.02097902
15,1009,black,poverty,0.01067616
15,1069,black,spot,0.02447552
15,1126,black,blind,0.0246478873239437
15,1156,black,chess,0.0236486486486486
15,1183,black,slave,0.1223776
15,1194,black,silence,0.01393728
15,1204,black,mold,0.0303030303030303
15,1250,black,pepper,0.0684931506849315
15,1290,black,coal,0.0141342756183746
15,1409,black,jazz,0.023972602739726
15,1455,black,void,0.0531413656183746
15,1489,black,nun,0.0431654676258993
15,1578,black,shade,0.0170068
15,1683,black,shadow,0.04137931
15,1826,black,slavery,0.08813559
16,234,small,weak,0.03636364
16,241,small,tiny,0.3945977
16,265,small,tall,0.02447552
16,323,small,tight,0.02807018
16,820,small,town,0.06164384
16,1651,small,smaller,0.01953125
17,495,pain,violence,0.03225806
17,572,pain,wound,0.0577819193103448
17,603,pain,sorry,0.01388889
17,783,pain,pleasure,0.0422535211267606
17,843,pain,punishment,0.04166667
17,905,pain,sore,0.1027397
17,932,pain,scream,0.02076125
17,962,pain,punch,0.02380952
17,1081,pain,sting,0.08833922
17,1171,pain,scratch,0.02083333
17,1222,pain,struggle,0.02112676
17,1239,pain,sorrow,0.03103448
17,1366,pain,twist,0.01369863
17,1697,pain,whip,0.02787456
17,1874,pain,punish,0.03636364
18,192,house,move,0.0576271186440678
18,252,house,paint,0.0448275862068966
18,270,house,street,0.02033898
18,278,house,safe,0.0239726
18,389,house,mouse,0.0208333333333333
18,489,house,painting,0.0387323943661972
18,623,house,lake,0.0136986301369863
18,635,house,inside,0.0736842105263158
18,668,house,key,0.0203389830508475
18,773,house,moving,0.0839160839160839
18,927,house,roof,0.1609589
18,1027,house,own,0.0347222222222222
18,1137,house,tidy,0.01067616
18,1161,house,sell,0.01403509
18,1165,house,property,0.1457627
18,1185,house,structure,0.02090592
18,1253,house,windows,0.03082192
18,1336,house,rent,0.08934708
18,1565,house,keys,0.0648464163822526
18,1832,house,ownership,0.048689138576779
19,23,death,war,0.07744108
19,44,death,life,0.119298245614035
19,250,death,kill,0.0454545454545455
19,312,death,sadness,0.03082192
19,495,death,violence,0.02867384
19,531,death,weapon,0.01689189
19,539,death,loss,0.129496402877698
19,689,death,will,0.0459364
19,812,death,sickness,0.04482759
