node_id,word,y_ldt_z,y_ldt_raw_zscore,y_ldt_rt_ms,ldt_accuracy,ldt_obs,ldt_sd,y_naming_z,y_naming_raw_zscore,y_naming_rt_ms,naming_accuracy,naming_obs,length,z_length,log_freq_hal,z_log_freq_hal,lgsubtlwf,z_lgsubtlwf,ortho_n,z_ortho_n,old,z_old,nphon,z_nphon,nsyll,z_nsyll,nmorph,z_nmorph,age_of_acquisition,z_age_of_acquisition,emotional_valence,z_emotional_valence,emotional_arousal,z_emotional_arousal,emotional_dominance,z_emotional_dominance,body_object_interaction,z_body_object_interaction
246,over,-1.4095536192722335,-0.829,578.941,1.0,27.0,171.456,-1.1481611366507836,-0.73,575.704,1.0,,4,-0.8615340841320809,13.023,2.039311239058865,4.829,2.2641702013681955,5,-0.13113521269909467,1.55,-0.5555849814193369,3,-0.9603338173392856,2,0.5037522514300279,1,-0.6133818164857131,5.572,-0.2520354355255716,,,,,,,1.375,-1.3457412416534127
247,energy,0.8654148426369404,-0.46,644.606,1.0,26.0,166.618,0.9336694059295768,-0.328,645.423,1.0,,6,0.3274142236247869,10.978,0.7387227178861611,3.225,-0.016164969494459572,0,-0.9126024206645457,2.65,1.2188079237291547,5,0.33948432916265947,3,1.8356479815670002,2,1.2404160104448765,6.52,0.2458410197059691,6.9,1.046029627299258,6.25,1.9926622027252738,6.53,1.0915361998646815,,
248,band,0.9085714259251904,-0.453,653.412,1.0,28.0,309.771,-0.4645749883408144,-0.598,582.429,1.0,,4,-0.8615340841320809,10.803,0.6274254116733388,3.435,0.28238265262596285,16,1.5880926448248973,1.0,-1.442781433993583,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,6.16,0.05677401139019435,6.44,0.7270662125829594,4.52,0.26887880771677464,5.56,0.13059358266748997,4.385,0.4947354790366182
249,laugh,-1.119787988622556,-0.782,555.871,0.94,27.0,179.253,-1.2051266490099477,-0.741,564.667,1.0,,5,-0.267059930253647,9.507,-0.19681063890848294,3.506,0.3833201820095339,2,-0.6000155374783653,1.95,0.08964880227102363,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.79,-1.1879171266886581,7.56,1.5036727875443814,6.62,2.3613326398080163,7.39,1.9435059429467265,2.875,-0.4285601516085467
250,kill,-0.2443258704894861,-0.64,601.441,1.0,28.0,202.763,-0.3351079147972595,-0.573,557.464,1.0,,4,-0.8615340841320809,11.168,0.8595597932029401,4.363,1.6016788113295446,14,1.275505761638717,1.2,-1.1201645421484026,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,6.35,0.15655937689018648,1.81,-2.4833698964093496,6.81,2.5506498912829376,3.61,-1.8011982766464503,2.24,-0.8168334797275398
251,great,-0.9964834649418418,-0.762,598.469,1.0,25.0,231.453,-0.640650208360049,-0.632,602.0,0.926,,5,-0.267059930253647,12.469,1.6869757668194132,4.622,1.9698875452780649,4,-0.2874286542921849,1.85,-0.07165964365156631,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,5.05,-0.5261825975834455,7.5,1.462068863885734,4.14,-0.1097556952330689,6.65,1.2104156988993857,,
252,paint,-1.1567793457267703,-0.788,555.719,0.97,25.0,177.432,-1.42263133256312,-0.783,557.2,1.0,,5,-0.267059930253647,9.678,-0.08805727112338084,3.274,0.05349614233363891,8,0.33774511208017594,1.5,-0.636239204380632,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,4.45,-0.8412942781097371,5.74,0.24168710323207035,4.5,0.24895067598257278,6.56,1.1212560746233569,5.091,0.9264220454177353
253,history,-0.435447882194593,-0.671,613.788,1.0,27.0,211.086,-1.0963743072333616,-0.72,554.407,1.0,,7,0.9218883775032208,11.38,0.9943885298721895,3.631,0.5610270999383568,0,-0.9126024206645457,2.75,1.3801163696517451,7,1.6393024756646046,3,1.8356479815670002,2,1.2404160104448765,6.42,0.19332240628492067,6.0,0.4219707724195433,3.38,-0.867024701132756,4.8,-0.6223099112189686,,
254,numbers,-0.053203858784379124,-0.609,581.441,1.0,28.0,166.821,-0.640650208360049,-0.632,559.821,1.0,,7,0.9218883775032208,11.203,0.8818192544455048,3.306,0.09898911332341762,2,-0.6000155374783653,2.4,0.8155368089226793,6,0.989393402413632,2,0.5037522514300279,2,1.2404160104448765,3.94,-1.1091392065570853,,,,,,,,
255,silly,0.267387902785477,-0.557,664.939,1.0,26.0,265.811,0.8404531129782177,-0.346,632.577,1.0,,5,-0.267059930253647,9.979,0.10337409556267377,3.464,0.32361065758544966,12,0.9629188784525368,1.55,-0.5555849814193369,4,-0.3104247440883131,2,0.5037522514300279,1,-0.6133818164857131,4.17,-0.9883463956886734,6.72,0.9212178563233147,4.86,0.6076570471982145,6.5,1.0618163251060053,,
256,away,0.871580068820976,-0.459,605.5,0.97,27.0,207.412,-1.6556720649415182,-0.828,545.407,1.0,,4,-0.8615340841320809,11.924,1.3403641560423358,4.571,1.8973831227631048,2,-0.6000155374783653,1.85,-0.07165964365156631,3,-0.9603338173392856,2,0.5037522514300279,1,-0.6133818164857131,5.071,-0.5151536887650254,,,,,,,1.655,-1.1745341048450377
